PETAL_LOC,DEVICE_LOC,TARGET_RA,TARGET_DEC,FIBERASSIGN_X,FIBERASSIGN_Y,OFFSET_0,OFFSET_FINAL,EXPID,PETAL,DEVICE,DEVICE_TYPE,LOCATION,FIBER,X,Y,Z,Q,S,SPECTRO,SLIT,SLITBLOCK,BLOCKFIBER,POSITIONER,SPECTROGRAPH,date_obs,petal_id,device_loc,pos_id,pos_move_index,time_recorded,bus_id,pos_t,pos_p,last_meas_obs_x,last_meas_obs_y,last_meas_peak,last_meas_fwhm,total_move_sequences,total_cruise_moves_t,total_cruise_moves_p,total_creep_moves_t,total_creep_moves_p,ctrl_enabled,move_cmd,move_val1,move_val2,log_note,exposure_id,exposure_iter,flags,obs_x,obs_y,ptl_x,ptl_y,ptl_z,site
5,435,119.47149077613474,51.369934527087125,-74.972626,344.17398,0.08902246907382427,0.007071067811865475,44091,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 05:23:07.314718+00:00,10,435,M04804,3127,2020-01-26 05:22:45.756606+00:00,can22,40.8534568505202,164.666188169501,-72.187,342.749,0.969006513319661,2.054,7146,2612,2484,20436,20564,True,,,,,,,,,,,,,kpno
5,435,119.47149077613474,51.369934527087125,-74.972626,344.17398,0.007280109889280519,0.005,44093,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 05:41:42.442525+00:00,10,435,M04804,3135,2020-01-26 05:42:26.544387+00:00,can22,35.0311800603967,165.312976070736,-74.948,343.972,0.969006513319661,2.054,7149,2613,2484,20447,20576,True,,,,,,,,,,,,,kpno
5,435,119.47149077613474,51.369934527087125,-74.972626,344.17398,0.0,0.005,44102,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 06:11:08.936574+00:00,10,435,M04804,3146,2020-01-26 06:11:53.216321+00:00,can22,35.9109538875572,165.245688786785,-74.947,343.972,0.969006513319661,2.054,7151,2613,2484,20455,20584,True,,,,,,,,,,,,,kpno
5,435,105.37349658694112,39.36041719162542,-73.42997,341.5475,0.1241974234837422,0.0161245154965971,44110,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 07:24:17.137463+00:00,10,435,M04804,3154,2020-01-26 07:23:58.486225+00:00,can22,141.059043640644,120.528101255921,-74.942,343.969,0.969006513319661,2.054,7154,2614,2485,20469,20598,True,,,,,,,,,,,,,kpno
5,435,164.73223186675514,32.07006414333673,-70.95681,344.20187,0.11142710621747295,0.011,44239,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 09:54:28.983113+00:00,10,435,M04804,3178,2020-01-26 09:54:12.515945+00:00,can22,-146.979440927258,117.766358416415,-71.392,344.943,0.969006513319661,2.054,7162,2616,2486,20507,20637,True,,,,,,,,,,,,,kpno
5,435,164.73223186675514,32.07006414333673,-70.95681,344.20187,0.016401219466856725,0.002,44243,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 10:36:34.446561+00:00,10,435,M04804,3186,2020-01-26 10:37:19.389256+00:00,can22,-145.671044137134,118.458794959625,-70.93,344.011,0.969006513319661,2.054,7165,2616,2486,20519,20649,True,,,,,,,,,,,,,kpno
5,435,120.40824955359244,32.80328135327577,-71.434715,345.12375,0.11004090148667449,0.011401754250991379,44259,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 11:32:50.999242+00:00,10,435,M04804,3193,2020-01-26 11:32:36.007948+00:00,can22,-131.792374877875,124.655449897896,-70.911,343.98,0.969006513319661,2.054,7168,2617,2487,20534,20664,True,,,,,,,,,,,,,kpno
5,435,120.40824955359244,32.80328135327577,-71.434715,345.12375,0.08188406438373709,0.00608276253029822,44184,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 08:51:17.444068+00:00,10,435,M04804,3166,2020-01-26 08:51:00.425228+00:00,can22,-132.599525865529,127.112176811477,-73.381,341.376,0.969006513319661,2.054,7158,2615,2485,20488,20618,True,,,,,,,,,,,,,kpno
5,435,215.25326323695407,54.764026655861244,-72.21199,342.98077,0.08221921916437787,0.005385164807134504,44280,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-26 12:15:50.488044+00:00,10,435,M04804,3202,2020-01-26 12:15:33.445256+00:00,can22,-188.05788314948,132.996405329995,-71.273,344.961,0.969006513319661,2.054,7172,2618,2488,20553,20683,True,,,,,,,,,,,,,kpno
5,435,34.77867963127192,29.33668640611361,-76.88494,345.99252,0.10241581909060729,0.00806225774829855,44347,5,435,POS,5435,2976,-73.92147923338374,344.15444269020907,-14.000342764968247,102.12246614003118,352.3670745048926,5,5,19,1,5435,5,2020-01-27 02:51:10.343173+00:00,10,435,M04804,3220,2020-01-27 02:50:53.838752+00:00,can22,10.519044998668,118.323627552217,-72.163,342.739,0.969006513319661,2.054,7176,2619,2489,20572,20702,True,,,,,,,,,,,,,kpno
